,artist,song
0,lizzo,about damn time
1,kate bush,running up that hill (a deal with god)
2,chapel hart,you can have him jolene
3,walker hayes,y'all life
4,harry styles,as it was
5,luke combs,the kind of love we make
6,p!nk,irrelevant
7,beyoncé,break my soul
8,fletcher,becky’s so hot
9,billie eilish,tv
10,slipknot,the dying song (time to sing)
11,cole swindell,she had me at heads carolina
12,bailey zimmerman,rock and a hard place
13,lizzo,good as hell
14,sia,unstoppable
15,tom macdonald,names
16,morgan wallen,wasted on you
17,charlie puth & jung kook,left and right
18,a day to remember,miracle
19,nicky youre & dazy,sunroof
20,morgan wallen,you proof
21,onerepublic,i ain't worried
22,jax,victoria’s secret
23,pitbull & zac brown,can't stop us now
24,lizzo,about damn time
25,miley cyrus,party in the u.s.a.
26,kane brown,like i love country music
27,rick astley,never gonna give you up
28,metallica,master of puppets
29,ashley cooke & brett young,never til now
30,tears for fears,everybody wants to rule the world
31,jack harlow,first class
32,don mclean,american pie (full length version)
33,lady gaga,hold my hand
34,post malone,i like you (a happier song) [feat. doja cat]
35,jelly roll,son of a sinner
36,marshmello & khalid,numb
37,bailey zimmerman,fall in love
38,"cardi b, kanye west & lil durk",hot shit
39,doja cat,vegas (from the original motion picture soundtrack elvis)
40,joji,glimpse of us
41,cody johnson,'til you can't
42,abba,dancing queen
43,carly rae jepsen,call me maybe
44,walker hayes,aa
45,tyler hubbard,5 foot 9
46,elton john & dua lipa,cold heart (pnau remix)
47,harry styles,late night talking
48,scotty mccreery,damn strait
49,walker hayes,fancy like
50,chapel hart,you can have him jolene
51,birdy,quietly yours
52,j-hope,arson
53,lady gaga,poker face
54,jackson dean,don’t come lookin’
55,russell dickerson & jake scott,she likes it (feat. jake scott)
56,katy perry,roar
57,lee brice,soul
58,ed sheeran,shivers
59,em beihold,numb little bug
60,guns n' roses,sweet child o' mine
61,chris stapleton,tennessee whiskey
62,latto & mariah carey,big energy (remix) [feat. dj khaled]
63,future,wait for u (feat. drake & tems)
64,ellie goulding,lights (single version)
65,latto,big energy
66,yung gravy,betty (get money)
67,lukas graham,7 years
68,neil diamond,sweet caroline
69,zach bryan,something in the orange (z&e's version)
70,jason mraz,i'm yours
71,disturbed,hey you
72,katy nichole,in jesus name (god of possible)
73,katy perry,dark horse (feat. juicy j)
74,dua lipa,levitating (feat. dababy)
75,chris stapleton,joy of my life
76,bad bunny,tití me preguntó
77,ava max,kings & queens
78,gayle,abcdefu (feat. royal & the serpent)
79,lizzo,truth hurts
80,lizzo,special
81,parmalee,take my name
82,drake,jimmy cooks (feat. 21 savage)
83,shaggy,angel (feat. rayvon)
84,glass animals,heat waves
85,luke bryan,country on
86,morgan wallen,sand in my boots
87,devon cole,w.i.t.c.h.
88,halsey,so good
89,shawn mendes,when you're gone
90,the b-52's,love shack
91,"calvin harris, justin timberlake, halsey & pharrell williams",stay with me
92,jordan davis,buy dirt (feat. luke bryan)
93,journey & steve perry,separate ways (worlds apart) [steve perry & bryce miller extended remix]
94,black eyed peas,i gotta feeling
95,imagine dragons,bones
96,journey,don't stop believin'
97,morgan wallen,chasin' you
98,louyah,you
99,nate smith,whiskey on you
